id,Gender,Customer Type,Type of Travel,Class,Flight Distance,Age,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
88653,Female,Loyal Customer,Personal Travel,Eco,646,55,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0,3,neutral or dissatisfied
26594,Male,Loyal Customer,Business travel,Eco,404,66,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9,6,satisfied
38339,Female,Loyal Customer,Business travel,Business,2738,19,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0,0,satisfied
46063,Female,Loyal Customer,Personal Travel,Eco Plus,964,53,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6,0,neutral or dissatisfied
27957,Male,Loyal Customer,Business travel,Business,1660,22,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0,0,neutral or dissatisfied
17270,Female,Loyal Customer,Personal Travel,Eco,872,69,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14,0,neutral or dissatisfied
87976,Female,Loyal Customer,Business travel,Business,1898,42,5,5,5,5,5,4,4,5,5,5,5,4,5,3,49,47,satisfied
31640,Female,Loyal Customer,Business travel,Business,967,41,2,2,2,2,2,3,5,4,4,4,4,5,4,5,44,40,satisfied
41461,Female,Loyal Customer,Personal Travel,Business,1242,53,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3,0,neutral or dissatisfied
15143,Male,Loyal Customer,Business travel,Business,1042,35,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0,0,neutral or dissatisfied
78136,Female,Loyal Customer,Personal Travel,Business,153,54,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0,0,neutral or dissatisfied
120433,Male,Loyal Customer,Business travel,Business,366,44,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5,24,satisfied
41440,Female,disloyal Customer,Business travel,Eco Plus,913,26,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0,0,neutral or dissatisfied
15963,Female,Loyal Customer,Personal Travel,Eco,528,44,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0,0,neutral or dissatisfied
64303,Female,disloyal Customer,Business travel,Eco,1172,24,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28,27,neutral or dissatisfied
3608,Female,Loyal Customer,Personal Travel,Eco,999,54,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0,0,neutral or dissatisfied
7744,Male,Loyal Customer,Business travel,Eco Plus,489,42,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0,0,neutral or dissatisfied
21276,Male,disloyal Customer,Business travel,Eco,692,36,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0,0,neutral or dissatisfied
58576,Female,Loyal Customer,Business travel,Business,1585,61,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24,20,satisfied
53888,Female,Loyal Customer,Personal Travel,Eco,140,50,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0,0,neutral or dissatisfied
10980,Male,Loyal Customer,Business travel,Business,2729,27,3,3,3,3,5,5,5,5,4,4,4,5,2,5,44,52,satisfied
54151,Male,Loyal Customer,Business travel,Business,1400,55,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1,0,neutral or dissatisfied
115641,Male,disloyal Customer,Business travel,Eco,447,21,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7,0,neutral or dissatisfied
58584,Female,Loyal Customer,Personal Travel,Business,334,31,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5,0,neutral or dissatisfied
50472,Female,disloyal Customer,Business travel,Eco,158,37,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20,neutral or dissatisfied
102623,Female,Loyal Customer,Business travel,Business,3696,50,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9,0,satisfied
31533,Female,Loyal Customer,Personal Travel,Eco,846,21,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9,17,neutral or dissatisfied
42287,Female,Loyal Customer,Business travel,Eco,329,53,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0,0,neutral or dissatisfied
70467,Male,Loyal Customer,Business travel,Business,2580,45,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0,11,satisfied
20461,Female,disloyal Customer,Business travel,Eco,84,42,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0,34,neutral or dissatisfied
113346,Male,Loyal Customer,Business travel,Business,3358,59,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0,0,satisfied
115566,Female,Loyal Customer,Business travel,Eco,308,54,2,1,4,4,5,3,3,2,2,2,2,4,2,1,83,95,neutral or dissatisfied
119896,Female,Loyal Customer,Business travel,Business,912,46,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5,0,satisfied
88853,Female,Loyal Customer,Personal Travel,Eco Plus,406,52,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0,0,neutral or dissatisfied
24895,Female,Loyal Customer,Personal Travel,Eco,397,38,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0,0,neutral or dissatisfied
31122,Male,Loyal Customer,Business travel,Business,2409,35,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0,0,satisfied
91231,Female,Loyal Customer,Personal Travel,Eco,545,41,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0,0,neutral or dissatisfied
61426,Female,disloyal Customer,Business travel,Business,2419,40,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0,0,neutral or dissatisfied
68873,Female,disloyal Customer,Business travel,Eco,1061,36,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13,0,neutral or dissatisfied
125701,Male,Loyal Customer,Personal Travel,Eco,899,67,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0,0,neutral or dissatisfied
94999,Female,Loyal Customer,Personal Travel,Eco,293,38,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5,0,satisfied
56694,Female,Loyal Customer,Personal Travel,Eco,1085,50,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0,0,neutral or dissatisfied
62010,Male,Loyal Customer,Business travel,Business,2475,50,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0,0,satisfied
95868,Male,Loyal Customer,Business travel,Business,2544,54,5,5,3,5,5,4,5,3,3,3,3,4,3,5,62,66,satisfied
123064,Male,Loyal Customer,Business travel,Business,2556,56,4,4,4,4,4,5,4,4,4,4,4,3,4,5,117,113,satisfied
103418,Male,Loyal Customer,Personal Travel,Eco,237,38,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0,2,neutral or dissatisfied
73456,Female,Loyal Customer,Personal Travel,Eco,1120,7,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16,13,neutral or dissatisfied
8851,Female,Loyal Customer,Business travel,Business,2668,32,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2,0,satisfied
64241,Male,Loyal Customer,Business travel,Eco,1660,45,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0,7,neutral or dissatisfied
81723,Male,disloyal Customer,Business travel,Eco,1310,25,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0,24,neutral or dissatisfied
88237,Female,Loyal Customer,Business travel,Business,2374,45,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0,0,satisfied
50619,Male,Loyal Customer,Personal Travel,Eco,209,34,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0,0,neutral or dissatisfied
54444,Male,Loyal Customer,Personal Travel,Eco Plus,305,20,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5,2,neutral or dissatisfied
64765,Female,disloyal Customer,Business travel,Eco,247,36,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16,6,neutral or dissatisfied
15941,Male,disloyal Customer,Business travel,Eco,338,36,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0,0,neutral or dissatisfied
14965,Male,Loyal Customer,Business travel,Business,3200,27,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0,0,satisfied
36897,Male,Loyal Customer,Personal Travel,Eco,1368,40,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0,0,neutral or dissatisfied
127954,Male,Loyal Customer,Business travel,Business,1999,31,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0,4,satisfied
27872,Male,Loyal Customer,Business travel,Eco Plus,680,25,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0,0,satisfied
35854,Male,Loyal Customer,Business travel,Business,537,42,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0,0,satisfied
14527,Female,Loyal Customer,Business travel,Eco,288,45,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29,40,satisfied
47021,Male,Loyal Customer,Personal Travel,Business,639,59,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0,11,neutral or dissatisfied
11224,Male,Loyal Customer,Personal Travel,Eco,201,34,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3,8,neutral or dissatisfied
3921,Female,Loyal Customer,Personal Travel,Eco,213,22,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0,17,neutral or dissatisfied
69463,Male,Loyal Customer,Personal Travel,Eco,1096,21,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0,0,neutral or dissatisfied
47050,Male,Loyal Customer,Business travel,Business,1680,26,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27,10,neutral or dissatisfied
21970,Male,Loyal Customer,Business travel,Business,2401,37,2,2,2,2,5,3,1,4,4,4,4,1,4,5,94,86,satisfied
30046,Male,Loyal Customer,Business travel,Business,2746,38,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0,0,satisfied
1256,Female,Loyal Customer,Personal Travel,Eco,89,17,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0,0,neutral or dissatisfied
73813,Male,Loyal Customer,Personal Travel,Eco Plus,192,15,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5,8,neutral or dissatisfied
110928,Female,Loyal Customer,Personal Travel,Eco,404,53,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0,0,neutral or dissatisfied
102981,Male,disloyal Customer,Business travel,Business,546,39,4,4,4,4,2,4,2,2,3,5,5,3,4,2,93,88,neutral or dissatisfied
61571,Male,Loyal Customer,Business travel,Business,2400,40,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0,0,satisfied
3796,Female,disloyal Customer,Business travel,Eco Plus,599,28,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0,46,neutral or dissatisfied
73906,Female,disloyal Customer,Business travel,Business,2342,27,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10,0,neutral or dissatisfied
74090,Female,Loyal Customer,Business travel,Business,3046,41,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,satisfied
76645,Female,Loyal Customer,Personal Travel,Eco,516,7,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0,0,neutral or dissatisfied
100462,Male,disloyal Customer,Business travel,Business,759,48,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2,1,neutral or dissatisfied
54164,Male,Loyal Customer,Business travel,Eco,1400,13,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0,0,neutral or dissatisfied
6147,Female,Loyal Customer,Business travel,Business,491,48,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0,0,satisfied
1262,Female,Loyal Customer,Personal Travel,Eco,134,49,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8,3,neutral or dissatisfied
20310,Male,disloyal Customer,Business travel,Business,900,26,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5,0,satisfied
46896,Male,Loyal Customer,Business travel,Business,3648,22,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0,0,satisfied
7237,Female,Loyal Customer,Business travel,Business,3769,53,3,1,5,1,1,3,1,2,4,3,4,1,2,1,180,178,neutral or dissatisfied
44293,Female,Loyal Customer,Business travel,Eco,563,43,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0,0,satisfied
52496,Male,Loyal Customer,Business travel,Business,3131,56,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0,0,satisfied
68263,Female,Loyal Customer,Personal Travel,Eco,631,69,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0,0,neutral or dissatisfied
5289,Male,Loyal Customer,Personal Travel,Eco,351,59,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0,0,satisfied
109359,Female,Loyal Customer,Business travel,Business,1189,56,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9,0,satisfied
94988,Male,Loyal Customer,Personal Travel,Eco,562,11,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0,0,satisfied
53605,Female,Loyal Customer,Business travel,Eco,1874,25,4,3,3,3,4,4,3,4,3,1,4,5,1,4,86,78,satisfied
11005,Female,disloyal Customer,Business travel,Eco,158,29,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0,0,satisfied
14794,Female,Loyal Customer,Business travel,Eco,95,48,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0,0,satisfied
49480,Female,Loyal Customer,Business travel,Business,266,42,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0,0,satisfied
120440,Male,disloyal Customer,Business travel,Eco,449,15,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0,0,neutral or dissatisfied
55823,Female,disloyal Customer,Business travel,Business,1416,49,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0,0,neutral or dissatisfied
107792,Male,Loyal Customer,Business travel,Business,2388,41,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29,18,satisfied
80531,Male,Loyal Customer,Business travel,Business,1678,43,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0,0,satisfied
128145,Male,Loyal Customer,Business travel,Business,1972,60,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0,0,satisfied
63370,Female,Loyal Customer,Personal Travel,Eco,337,42,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0,0,satisfied
12452,Female,Loyal Customer,Personal Travel,Eco,253,8,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0,0,neutral or dissatisfied
16145,Female,Loyal Customer,Business travel,Eco,212,42,5,3,3,3,5,3,5,5,5,5,5,5,5,2,82,72,satisfied
44418,Male,disloyal Customer,Business travel,Eco Plus,342,18,1,1,1,3,3,1,3,3,2,1,4,1,3,3,32,41,neutral or dissatisfied
95746,Male,Loyal Customer,Business travel,Business,3556,47,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0,0,satisfied
41134,Female,disloyal Customer,Business travel,Eco,191,27,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16,12,neutral or dissatisfied
3214,Female,Loyal Customer,Personal Travel,Eco Plus,693,67,3,1,3,1,5,1,2,1,1,3,1,1,1,4,100,91,neutral or dissatisfied
74101,Male,disloyal Customer,Business travel,Business,641,38,5,5,5,3,2,5,2,2,5,5,4,3,5,2,0,0,satisfied
106220,Female,disloyal Customer,Business travel,Eco,471,20,4,5,4,4,3,4,3,3,4,3,4,5,4,3,0,0,neutral or dissatisfied
88134,Female,Loyal Customer,Business travel,Business,3823,60,2,2,1,2,4,4,4,5,5,4,5,3,5,3,1,0,satisfied
64475,Male,disloyal Customer,Business travel,Business,282,23,4,5,4,1,4,4,4,4,3,3,5,3,4,4,9,1,satisfied
123812,Male,disloyal Customer,Business travel,Business,544,25,3,5,3,1,2,3,2,2,4,2,5,4,4,2,0,0,neutral or dissatisfied
88893,Female,Loyal Customer,Business travel,Business,2955,38,3,3,3,3,3,5,5,4,4,4,4,3,4,3,0,0,satisfied
31244,Female,Loyal Customer,Business travel,Business,2806,40,1,1,1,1,3,1,5,5,5,5,5,5,5,5,0,4,satisfied
97762,Male,Loyal Customer,Personal Travel,Eco,587,19,3,4,3,5,1,3,1,1,5,3,5,4,4,1,0,0,neutral or dissatisfied
59851,Female,Loyal Customer,Business travel,Business,2073,61,3,3,3,3,4,5,4,4,4,4,4,4,4,5,6,0,satisfied
25137,Male,Loyal Customer,Personal Travel,Eco,1249,44,3,4,3,3,5,3,5,5,5,2,3,4,4,5,25,6,neutral or dissatisfied
18412,Female,Loyal Customer,Personal Travel,Eco,284,22,3,5,3,1,3,3,3,3,4,5,5,3,5,3,34,35,neutral or dissatisfied
87192,Female,disloyal Customer,Business travel,Eco,946,8,2,2,2,2,3,2,3,3,1,5,3,4,3,3,2,0,neutral or dissatisfied
127062,Female,Loyal Customer,Business travel,Business,3947,45,3,4,4,4,3,4,4,3,3,3,3,4,3,3,25,16,neutral or dissatisfied
112169,Male,Loyal Customer,Personal Travel,Eco,895,46,4,5,4,1,1,4,1,1,2,1,3,3,5,1,40,25,satisfied
127798,Female,Loyal Customer,Business travel,Business,1634,54,3,2,5,2,4,4,4,3,3,3,3,3,3,1,90,77,neutral or dissatisfied
91778,Male,Loyal Customer,Personal Travel,Eco,588,62,2,1,1,2,1,1,1,1,1,4,3,2,3,1,0,0,neutral or dissatisfied
42609,Female,Loyal Customer,Business travel,Business,2533,25,5,5,5,5,2,2,2,2,5,1,2,1,3,2,0,0,satisfied
67482,Female,Loyal Customer,Personal Travel,Eco,641,32,3,4,3,2,2,3,2,2,4,5,4,5,4,2,0,0,neutral or dissatisfied
91108,Female,Loyal Customer,Personal Travel,Eco,581,65,4,4,4,2,4,4,4,1,1,4,1,4,1,5,1,3,neutral or dissatisfied
102318,Male,disloyal Customer,Business travel,Business,223,40,2,2,2,4,2,2,2,2,4,4,4,3,5,2,0,0,neutral or dissatisfied
51281,Female,Loyal Customer,Business travel,Eco Plus,326,30,0,0,0,5,2,0,2,2,4,1,3,4,5,2,0,0,satisfied
6528,Female,Loyal Customer,Personal Travel,Eco,599,67,3,1,3,2,1,1,2,3,3,3,3,2,3,1,0,0,neutral or dissatisfied
121232,Male,Loyal Customer,Business travel,Business,2075,51,5,5,5,5,2,5,5,5,5,5,5,3,5,3,0,0,satisfied
72478,Female,Loyal Customer,Business travel,Business,964,47,5,5,4,5,5,4,5,5,5,5,5,4,5,3,1,3,satisfied
122788,Female,Loyal Customer,Business travel,Eco,599,38,1,4,4,4,1,1,1,1,2,3,3,3,3,1,8,0,neutral or dissatisfied
5528,Male,Loyal Customer,Business travel,Business,3138,54,1,1,1,1,5,5,4,4,4,4,4,3,4,4,0,0,satisfied
107726,Female,Loyal Customer,Personal Travel,Eco,251,57,1,5,0,5,3,2,3,1,1,0,3,5,1,3,0,4,neutral or dissatisfied
72606,Male,Loyal Customer,Personal Travel,Eco,1119,13,1,5,1,3,2,1,2,2,3,4,4,5,5,2,0,0,neutral or dissatisfied
75522,Female,disloyal Customer,Business travel,Eco,337,20,4,0,4,3,4,4,4,4,3,5,4,4,5,4,0,0,satisfied
125687,Female,Loyal Customer,Business travel,Business,759,45,2,2,2,2,2,2,1,2,2,2,2,3,2,4,23,94,neutral or dissatisfied
79908,Female,Loyal Customer,Business travel,Business,2344,51,2,2,2,2,3,4,5,3,3,3,3,3,3,3,0,0,satisfied
117345,Male,disloyal Customer,Business travel,Business,296,25,0,0,0,3,2,0,2,2,4,4,4,5,5,2,0,0,satisfied
73465,Female,Loyal Customer,Personal Travel,Eco,1005,39,1,4,2,3,2,1,5,5,2,4,5,5,4,5,168,163,neutral or dissatisfied
